st_abbr,region
ZZ,ZZ
XX,XX
AL,S
AK,W
AZ,W
AR,S
CA,W
CO,W
CT,NE
DE,S
DC,S
FL,S
GA,S
HI,W
ID,W
IL,MW
IN,MW
IA,MW
KS,MW
KY,S
LA,S
ME,NE
MD,S
MA,NE
MI,MW
MN,MW
MS,S
MO,MW
MT,W
NE,MW
NV,W
NH,NE
NJ,NE
NM,W
NY,NE
NC,S
ND,MW
OH,MW
OK,S
OR,W
PA,NE
PR,PR
RI,NE
SC,S
SD,MW
TN,S
TX,S
UT,W
VT,NE
VA,S
WA,W
WV,S
WI,MW
WY,W
